               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.040762,            0.052546,            0.011242,             0.93069,             0.78039,             0.79446,             0.54928,            0.040077,            0.041687,            0.010131,            0.004357,            0.004357,            0.004357
                  59,            0.041255,            0.050852,            0.011039,             0.93896,             0.79287,             0.79902,              0.5627,            0.039146,            0.041103,            0.010134,            0.004258,            0.004258,            0.004258
                  60,             0.04057,             0.05266,            0.011108,              0.9413,             0.79427,             0.79859,              0.5337,            0.039385,            0.040878,            0.010054,            0.004159,            0.004159,            0.004159
                  61,            0.039652,            0.052672,            0.011121,             0.96384,             0.78436,             0.80012,             0.55249,            0.037327,            0.040054,           0.0098767,             0.00406,             0.00406,             0.00406
                  62,            0.038406,            0.052955,            0.010987,             0.95071,             0.78147,             0.80079,              0.5465,            0.039781,             0.04118,           0.0097445,            0.003961,            0.003961,            0.003961
                  63,            0.040771,             0.05145,             0.01097,             0.95609,             0.78397,             0.80296,             0.57542,            0.037398,            0.039459,           0.0095033,            0.003862,            0.003862,            0.003862
                  64,            0.039412,            0.045672,            0.010825,             0.95871,              0.7831,             0.80117,             0.56205,            0.038201,            0.040218,           0.0094718,            0.003763,            0.003763,            0.003763
                  65,            0.038454,            0.046706,            0.010735,              0.9611,             0.79618,             0.79983,             0.55707,            0.038038,            0.040157,           0.0094917,            0.003664,            0.003664,            0.003664
                  66,             0.03706,            0.049648,            0.010416,             0.95373,             0.79728,             0.79628,             0.55931,            0.038691,            0.040421,           0.0094928,            0.003565,            0.003565,            0.003565
                  67,            0.038338,            0.052012,            0.010913,              0.9555,              0.7962,             0.80316,             0.57089,            0.037847,            0.039173,           0.0092452,            0.003466,            0.003466,            0.003466
                  68,            0.036923,            0.049303,            0.010157,             0.95118,             0.79968,              0.8033,             0.58039,            0.035757,            0.038582,           0.0091875,            0.003367,            0.003367,            0.003367
                  69,            0.035721,            0.047264,            0.010174,             0.96029,             0.79679,              0.8038,             0.57517,            0.035479,            0.039017,           0.0092132,            0.003268,            0.003268,            0.003268
                  70,            0.036512,            0.047739,            0.010072,             0.96091,             0.78903,             0.80259,             0.57817,            0.036738,             0.03944,           0.0091781,            0.003169,            0.003169,            0.003169
                  71,            0.035733,            0.047569,            0.010415,             0.95591,             0.78378,             0.80308,             0.59867,            0.035776,            0.037807,           0.0087889,             0.00307,             0.00307,             0.00307
                  72,            0.035144,             0.04845,           0.0096285,             0.95355,             0.79529,             0.80324,             0.59113,            0.035776,            0.038635,           0.0089027,            0.002971,            0.002971,            0.002971
                  73,            0.035001,            0.046212,           0.0097542,             0.97265,             0.79913,             0.80512,             0.57995,             0.03588,            0.039196,           0.0090176,            0.002872,            0.002872,            0.002872
                  74,            0.035158,            0.048058,           0.0098037,             0.96241,              0.7994,             0.80473,             0.58011,            0.035798,            0.038834,           0.0088445,            0.002773,            0.002773,            0.002773
                  75,            0.035886,            0.050536,             0.01037,             0.96989,             0.77991,             0.80617,             0.59955,            0.036097,            0.037727,           0.0085271,            0.002674,            0.002674,            0.002674
                  76,             0.03465,            0.046773,           0.0095841,             0.96161,             0.77885,             0.80639,             0.60395,             0.03513,             0.03721,           0.0083635,            0.002575,            0.002575,            0.002575
                  77,            0.033338,             0.04355,              0.0093,              0.9732,             0.78904,             0.80682,             0.60222,            0.034913,            0.036636,           0.0080981,            0.002476,            0.002476,            0.002476
                  78,             0.03416,            0.050492,           0.0095901,             0.97481,             0.79769,             0.80606,             0.59878,            0.035521,            0.036509,           0.0079732,            0.002377,            0.002377,            0.002377
                  79,            0.034213,            0.046467,           0.0092732,              0.9687,             0.78863,             0.80617,              0.5989,            0.034966,            0.036617,           0.0080572,            0.002278,            0.002278,            0.002278
                  80,            0.033525,            0.044488,           0.0092308,             0.96386,             0.78592,             0.80603,             0.61198,            0.034015,            0.036455,           0.0080435,            0.002179,            0.002179,            0.002179
                  81,            0.032919,            0.045122,           0.0097421,             0.94248,             0.80834,             0.80608,             0.61832,            0.033929,            0.036551,           0.0080309,             0.00208,             0.00208,             0.00208
                  82,            0.032194,            0.046532,           0.0089938,             0.94882,             0.80416,             0.80684,             0.61023,            0.034661,            0.036983,           0.0081091,            0.001981,            0.001981,            0.001981
                  83,            0.032347,            0.046263,            0.008935,             0.96043,             0.79236,              0.8072,             0.61869,            0.034524,            0.036354,           0.0078773,            0.001882,            0.001882,            0.001882
                  84,            0.031918,            0.045858,           0.0092513,             0.95794,             0.80805,             0.80626,              0.6163,            0.033747,            0.036528,            0.007946,            0.001783,            0.001783,            0.001783
                  85,            0.030876,            0.044455,            0.008813,             0.97106,             0.79983,             0.80584,             0.62129,            0.032678,            0.036592,           0.0080687,            0.001684,            0.001684,            0.001684
                  86,            0.031113,            0.044308,           0.0089828,             0.96253,             0.80872,             0.80608,             0.61969,            0.032974,            0.036694,            0.008107,            0.001585,            0.001585,            0.001585
                  87,            0.031275,            0.046156,           0.0090761,             0.96583,             0.80935,             0.80771,             0.62156,            0.032623,            0.036587,           0.0081993,            0.001486,            0.001486,            0.001486
                  88,            0.031138,             0.04374,           0.0091334,              0.9639,             0.81136,             0.80768,             0.62567,            0.032375,            0.036381,           0.0080981,            0.001387,            0.001387,            0.001387
                  89,            0.030741,            0.044472,           0.0088712,             0.96115,             0.81041,             0.80779,               0.624,            0.032351,             0.03636,           0.0080629,            0.001288,            0.001288,            0.001288
                  90,            0.030232,              0.0437,           0.0091863,             0.96403,             0.81176,             0.80778,             0.62803,            0.032897,            0.036606,           0.0079895,            0.001189,            0.001189,            0.001189
                  91,            0.030543,            0.042853,           0.0085488,             0.95634,             0.80795,             0.80767,             0.63714,             0.03204,             0.03607,           0.0078893,             0.00109,             0.00109,             0.00109
                  92,            0.029834,            0.044213,           0.0086872,             0.95687,             0.81137,             0.80778,             0.63828,             0.03179,            0.035858,           0.0078531,            0.000991,            0.000991,            0.000991
                  93,            0.030276,            0.046001,           0.0091262,             0.96823,             0.80992,             0.80776,             0.63096,            0.031817,            0.036095,           0.0078862,            0.000892,            0.000892,            0.000892
                  94,            0.029587,            0.044525,           0.0085532,              0.9742,             0.80892,             0.80786,             0.63366,            0.031698,            0.036045,           0.0079255,            0.000793,            0.000793,            0.000793
                  95,            0.028561,            0.040341,           0.0080233,             0.96852,             0.80775,             0.80838,               0.634,            0.031351,            0.035805,           0.0078652,            0.000694,            0.000694,            0.000694
                  96,            0.029692,            0.045306,           0.0087321,             0.96153,             0.80827,             0.80833,             0.63526,            0.031652,             0.03583,           0.0077676,            0.000595,            0.000595,            0.000595
                  97,            0.028493,            0.042847,           0.0083753,             0.95704,             0.80755,             0.80787,              0.6335,            0.031629,            0.035398,           0.0076811,            0.000496,            0.000496,            0.000496
                  98,            0.028919,            0.042107,           0.0083377,             0.95872,             0.80766,             0.80794,              0.6394,            0.031338,            0.035173,           0.0076753,            0.000397,            0.000397,            0.000397
                  99,            0.029208,            0.043485,           0.0087339,             0.96572,             0.80931,              0.8082,             0.63525,            0.031439,            0.035416,           0.0077388,            0.000298,            0.000298,            0.000298
