epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2388.99,0.6346,1.03213,0.37634,0.84192,0.90286,0.85839,0.89203,0.69983,0.79356,0.75977,0.76193,0.47161,0.6703,1.162,0.40697,0.84993,0.00394179,0.00394179,0.00394179
43,2445.92,0.62829,1.03048,0.37216,0.84127,0.89102,0.85958,0.88211,0.69212,0.77506,0.76902,0.76118,0.47065,0.67266,1.17105,0.40716,0.84876,0.00379403,0.00379403,0.00379403
44,2503.22,0.62262,1.02329,0.3678,0.83939,0.88767,0.86001,0.88174,0.69834,0.78795,0.76656,0.7699,0.47374,0.65163,1.1635,0.39948,0.84533,0.00364627,0.00364627,0.00364627
45,2559.52,0.62481,1.02852,0.36585,0.8375,0.92761,0.86467,0.89524,0.69412,0.79295,0.76966,0.77697,0.47949,0.66153,1.13801,0.39967,0.84422,0.00349851,0.00349851,0.00349851
46,2616.19,0.6195,1.02965,0.36259,0.83851,0.88477,0.87152,0.89381,0.70552,0.80143,0.77447,0.77841,0.47908,0.64575,1.14499,0.38504,0.84128,0.00335075,0.00335075,0.00335075
47,2673.94,0.61723,1.01352,0.36211,0.83819,0.91274,0.85695,0.888,0.70245,0.79084,0.77404,0.76993,0.47932,0.65541,1.16645,0.38901,0.8443,0.00320299,0.00320299,0.00320299
48,2729.78,0.60923,1.00564,0.35786,0.83655,0.92311,0.85196,0.88233,0.69956,0.78769,0.76591,0.75956,0.4679,0.65766,1.18757,0.38951,0.84496,0.00305522,0.00305522,0.00305522
49,2787.02,0.60786,1.02118,0.35536,0.83621,0.92836,0.85102,0.89571,0.7047,0.78134,0.75783,0.7567,0.46524,0.65497,1.14972,0.38843,0.84481,0.00290746,0.00290746,0.00290746
50,2843.8,0.60164,1.0023,0.35139,0.83523,0.91931,0.85512,0.89786,0.70084,0.77107,0.76832,0.76042,0.4711,0.66186,1.16649,0.38921,0.84449,0.0027597,0.0027597,0.0027597
51,2899.75,0.59367,0.984,0.3487,0.83346,0.89352,0.86851,0.89887,0.70483,0.78709,0.76733,0.76049,0.47414,0.64389,1.17823,0.38607,0.84301,0.00261194,0.00261194,0.00261194
52,2955.74,0.59549,1.00241,0.34973,0.83447,0.88852,0.87456,0.88875,0.70101,0.79373,0.77082,0.76715,0.47855,0.64908,1.18165,0.38955,0.84784,0.00246418,0.00246418,0.00246418
53,3012.93,0.5938,0.9968,0.34684,0.83534,0.92963,0.84959,0.89643,0.70336,0.79271,0.76628,0.77382,0.48609,0.6471,1.15848,0.38255,0.84591,0.00231642,0.00231642,0.00231642
54,3071.41,0.59105,0.99525,0.34664,0.83307,0.87523,0.87131,0.892,0.70343,0.79611,0.77121,0.7775,0.48572,0.64566,1.17031,0.38165,0.84159,0.00216866,0.00216866,0.00216866
55,3126.99,0.58949,0.99645,0.34399,0.83215,0.92783,0.85049,0.89416,0.70533,0.79452,0.77722,0.77592,0.47722,0.65051,1.18678,0.38632,0.84332,0.0020209,0.0020209,0.0020209
56,3183.45,0.57844,0.97325,0.34316,0.8339,0.92245,0.85454,0.89438,0.70534,0.7963,0.77627,0.77884,0.47927,0.64619,1.15273,0.37911,0.84073,0.00187313,0.00187313,0.00187313
57,3240.43,0.58522,0.9906,0.34092,0.82864,0.90112,0.87653,0.89615,0.70675,0.79154,0.7853,0.77709,0.49264,0.64366,1.16355,0.3746,0.8391,0.00172537,0.00172537,0.00172537
58,3297.89,0.58122,0.97837,0.33761,0.82917,0.90852,0.86557,0.89204,0.70269,0.79923,0.79089,0.78036,0.48722,0.64334,1.16463,0.37783,0.84307,0.00157761,0.00157761,0.00157761
59,3354.27,0.57373,0.96921,0.33611,0.83234,0.93207,0.8504,0.89496,0.70439,0.78944,0.76933,0.76663,0.47207,0.64423,1.17485,0.37442,0.84216,0.00142985,0.00142985,0.00142985
60,3410.97,0.57275,0.96193,0.33342,0.83151,0.91308,0.86218,0.89619,0.70637,0.78875,0.78789,0.78091,0.48909,0.64082,1.1556,0.37687,0.84236,0.00128209,0.00128209,0.00128209
61,3468.3,0.56887,0.96256,0.33272,0.82961,0.92611,0.85919,0.89763,0.70247,0.79771,0.77656,0.77401,0.47599,0.64313,1.17311,0.37501,0.84154,0.00113433,0.00113433,0.00113433
62,3525.08,0.56499,0.96487,0.32964,0.8298,0.92481,0.86078,0.90162,0.70877,0.80031,0.77838,0.77291,0.48099,0.63533,1.16705,0.36867,0.83907,0.000986567,0.000986567,0.000986567
63,3567.57,0.57291,0.99217,0.32806,0.81562,0.91525,0.85421,0.88975,0.7047,0.79732,0.77844,0.77455,0.48259,0.63892,1.17658,0.36647,0.84087,0.000838806,0.000838806,0.000838806
64,3606.27,0.56519,0.97908,0.32295,0.81259,0.90162,0.87029,0.89875,0.71272,0.80206,0.78507,0.78447,0.49839,0.63425,1.15805,0.36821,0.83759,0.000691045,0.000691045,0.000691045
65,3646.14,0.5644,0.97484,0.32149,0.8141,0.92136,0.85729,0.89611,0.71041,0.79641,0.78144,0.77526,0.48509,0.63375,1.15588,0.3686,0.83865,0.000543284,0.000543284,0.000543284
66,3684.55,0.56248,0.97154,0.31937,0.81372,0.92932,0.85378,0.89768,0.71206,0.80981,0.78187,0.78555,0.49727,0.6351,1.16843,0.36391,0.83933,0.000395522,0.000395522,0.000395522
67,3722.58,0.55595,0.97212,0.31678,0.81107,0.92307,0.85207,0.89484,0.71113,0.80647,0.77747,0.78229,0.49755,0.63247,1.16295,0.36348,0.83903,0.000247761,0.000247761,0.000247761
